title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"The Jackal",movie,"Action, Crime, Drama",1997,tt0119395,6.4,126041,JP
"The Curious Case of Benjamin Button",movie,"Drama, Fantasy, Romance",2008,tt0421715,7.8,707671,JP
"10 Things I Hate About You",movie,"Comedy, Drama, Romance",1999,tt0147800,7.3,401186,US
"3:10 to Yuma",movie,"Action, Crime, Drama",2007,tt0381849,7.6,337076,JP
Teorema,movie,"Drama, Mystery",1968,tt0063678,7,15669,JP
"Lisa and the Devil",movie,"Horror, Mystery",1973,tt0068863,6.2,5546,JP
"Baron Blood",movie,Horror,1972,tt0069048,5.9,4388,JP
"A Bay of Blood",movie,"Horror, Mystery, Thriller",1971,tt0067656,6.5,13269,JP
"Le Samouraï",movie,"Crime, Drama, Thriller",1967,tt0062229,8,60251,JP
"Donkey Skin",movie,"Comedy, Fantasy, Musical",1970,tt0066207,7,6658,JP
"Sky High",movie,"Action, Adventure, Drama",2002,tt0398563,6.1,1518,JP
"The Mist",movie,"Horror, Sci-Fi, Thriller",2007,tt0884328,7.1,349503,US
Papillon,movie,"Biography, Crime, Drama",1973,tt0070511,8,140280,JP
"The Umbrellas of Cherbourg",movie,"Drama, Musical, Romance",1964,tt0058450,7.8,32158,JP
"The Family Man",movie,"Comedy, Drama, Fantasy",2000,tt0218967,6.8,121300,JP
"Romeo and Juliet",movie,"Drama, Romance",1968,tt0063518,7.6,35283,JP
"Six Days Seven Nights",movie,"Action, Adventure, Comedy",1998,tt0120828,5.9,84541,US
"Sister Act 2: Back in the Habit",movie,"Comedy, Family, Music",1993,tt0108147,5.7,60105,JP
"I Am Legend",movie,"Action, Drama, Horror",2007,tt0480249,7.2,832061,JP
"27 Dresses",movie,"Comedy, Romance",2008,tt0988595,6.1,177916,US
"The Man Without a Past",movie,"Comedy, Drama, Romance",2002,tt0311519,7.6,26886,JP
Equilibrium,movie,"Action, Drama, Sci-Fi",2002,tt0238380,7.3,351080,JP
"Running Scared",movie,"Action, Crime, Drama",2006,tt0404390,7.3,104416,JP
Juno,movie,"Comedy, Drama",2007,tt0467406,7.4,555849,US
"Speed Racer",movie,"Action, Adventure, Comedy",2008,tt0811080,6.1,79566,JP
Shooter,movie,"Action, Drama, Thriller",2007,tt0822854,7.1,361574,JP
Idiocracy,movie,"Adventure, Comedy, Sci-Fi",2006,tt0387808,6.5,191270,US
"Ghost Train",movie,Horror,2006,tt0819839,4.9,923,JP
"Deja Vu",movie,"Action, Crime, Sci-Fi",2006,tt0453467,7.1,332258,US
Rambo,movie,"Action, Adventure, Thriller",2008,tt0462499,7,247756,JP
"10,000 BC",movie,"Action, Adventure, Drama",2008,tt0443649,5.1,136505,JP
"The Match Factory Girl",movie,"Comedy, Crime, Drama",1990,tt0098532,7.5,12217,JP
"Robin Hood: Men in Tights",movie,"Adventure, Comedy, Musical",1993,tt0107977,6.7,139379,US
"Behind Enemy Lines",movie,"Action, Drama, Thriller",2001,tt0159273,6.4,114561,US
"Punch-Drunk Love",movie,"Comedy, Drama, Romance",2002,tt0272338,7.3,181733,US
Stay,movie,"Drama, Mystery, Thriller",2005,tt0371257,6.7,87768,US
"Band of Outsiders",movie,"Comedy, Crime, Drama",1964,tt0057869,7.6,27517,JP
Alien³,movie,"Action, Horror, Sci-Fi",1992,tt0103644,6.4,333262,US
"Alien Resurrection",movie,"Action, Horror, Sci-Fi",1997,tt0118583,6.2,275501,US
"Napoleon Dynamite",movie,Comedy,2004,tt0374900,7,242648,US
"Æon Flux",movie,"Action, Adventure, Sci-Fi",2005,tt0402022,5.4,133929,JP
"Drifting Clouds",movie,"Comedy, Drama",1996,tt0116752,7.6,9464,JP
Kika,movie,Comedy,1993,tt0107315,6.5,15282,JP
REC,movie,"Horror, Mystery, Thriller",2007,tt1038988,7.4,202293,JP
"Cast Away",movie,"Adventure, Drama, Romance",2000,tt0162222,7.8,651003,JP
Superbad,movie,Comedy,2007,tt0829482,7.6,647796,US
"Transformers: Revenge of the Fallen",movie,"Action, Adventure, Sci-Fi",2009,tt1055369,6,434467,JP
"The Conformist",movie,Drama,1970,tt0065571,7.9,34512,JP
"Swallowtail Butterfly",movie,"Crime, Drama",1996,tt0117797,7.5,4540,JP
"The Happening",movie,"Adventure, Drama, Sci-Fi",2008,tt0949731,5,219933,US
"Deep Impact",movie,"Action, Drama, Sci-Fi",1998,tt0120647,6.2,193962,JP
"K-19: The Widowmaker",movie,"Drama, History, Thriller",2002,tt0267626,6.7,68499,"JP, US"
"Fool's Gold",movie,"Action, Adventure, Comedy",2008,tt0770752,5.7,85858,US
"Cannibals in the Streets",movie,"Drama, Fantasy, Horror",1980,tt0080379,5.5,4445,JP
"The League of Extraordinary Gentlemen",movie,"Action, Adventure, Fantasy",2003,tt0311429,5.8,186054,US
"The Final Countdown",movie,"Action, Adventure, Sci-Fi",1980,tt0080736,6.7,27808,JP
"Hellraiser: Bloodline",movie,"Horror, Sci-Fi",1996,tt0116514,5.1,25224,JP
"Mad Max 2: The Road Warrior",movie,"Action, Adventure, Sci-Fi",1981,tt0082694,7.6,204131,JP
Evita,movie,"Biography, Drama, History",1996,tt0116250,6.3,37993,US
"Conspiracy Theory",movie,"Action, Drama, Mystery",1997,tt0118883,6.7,108936,JP
"Under Siege",movie,"Action, Thriller",1992,tt0105690,6.5,97354,JP
"Dude, Where's My Car?",movie,"Comedy, Mystery, Sci-Fi",2000,tt0242423,5.5,147567,US
"Red Planet",movie,"Action, Sci-Fi, Thriller",2000,tt0199753,5.7,60433,JP
"Che: Part Two",movie,"Biography, Drama, History",2008,tt0374569,6.8,35369,JP
"Che: Part One",movie,"Biography, Drama, History",2008,tt0892255,7.1,48367,JP
"Deep Blue Sea",movie,"Action, Adventure, Sci-Fi",1999,tt0149261,5.9,145476,JP
